Date,Open,High,Low,Close,Adj Close,Volume
7/1/2019,611.700012,627.700012,586.25,618.299988,613.636841,624020
7/2/2019,618.900024,621.450012,595.849976,607.650024,603.0672,278108
7/3/2019,608.400024,614.700012,601.549988,608.049988,603.464172,300795
7/4/2019,606.549988,641.700012,606.549988,623.75,619.045715,728815
7/5/2019,631.400024,639.700012,573,583.75,579.347473,659938
7/8/2019,582,582,545.049988,553,548.829346,431925
7/9/2019,545.049988,598.700012,532.25,592.400024,587.93219,757140
7/10/2019,594,619,560.700012,571.349976,567.040894,1412728
7/11/2019,574.299988,587,550.200012,554.950012,550.764709,415125
7/12/2019,559.799988,569,552,556.099976,551.905945,443348
7/15/2019,559.549988,573.700012,555.349976,569.099976,564.807922,263386
7/16/2019,569,586,560.599976,565.75,561.483215,702868
7/17/2019,565.950012,574.5,555.549988,560.700012,556.471252,239114
7/18/2019,560,579.950012,559.200012,569.599976,565.304077,550036
7/19/2019,573.150024,577,549.650024,561.849976,557.61261,250515
7/22/2019,553.099976,558.150024,542,549.200012,545.058044,137714
7/23/2019,551.099976,574.5,551.099976,566.799988,562.525208,486099
7/24/2019,566.799988,573.549988,545.099976,549.900024,545.752747,247641
7/25/2019,524.950012,558,515.200012,545.549988,541.435547,884386
7/26/2019,548.950012,555,534.650024,549.900024,545.752747,161693
7/29/2019,550,565,545,550.650024,546.49707,216474
7/30/2019,549,554.900024,543.849976,548.450012,544.313721,408781
7/31/2019,545.200012,550,540.5,549.599976,545.454956,160832
8/1/2019,549.75,574.5,545.75,562.549988,558.307312,519407
8/2/2019,558.599976,569,549.349976,552.549988,548.38269,200807
8/5/2019,548.5,554,543.200012,549.099976,544.95874,239000
8/6/2019,549,566.5,544.599976,561.599976,557.364441,140828
8/7/2019,561,567.900024,544,550.099976,545.951172,255101
8/8/2019,554.849976,560,543.049988,552.650024,548.481995,87589
8/9/2019,554,564.900024,544.25,548.200012,544.065552,171125
8/13/2019,550.849976,554,530.799988,536.25,532.205688,89690
8/14/2019,544.799988,546.75,535,537.599976,535.542847,268131
8/16/2019,539.599976,544,532,534.900024,532.85321,283099
8/19/2019,537,547.200012,534.5,545.5,543.412598,202894
8/20/2019,542.5,553.700012,515.349976,525.599976,523.588745,903831
8/21/2019,520,520,452.100006,512.599976,510.638489,2180052
8/22/2019,500,503.950012,475.299988,484.549988,482.695831,1280417
8/23/2019,475.5,482,456.350006,460.75,458.986908,1010327
8/26/2019,469.049988,493.799988,450,487.899994,486.03302,1110840
8/27/2019,490.899994,498.100006,481.25,491.25,489.370209,503252
8/28/2019,496.200012,542.599976,495.100006,538.349976,536.289978,1356338
8/29/2019,542.650024,557,533.099976,549.5,547.397278,1110860
8/30/2019,549.549988,573.849976,549.549988,567.950012,565.776733,659055
9/3/2019,567.950012,578.849976,527.650024,540.549988,538.481567,1045074
9/4/2019,533.400024,543.900024,527.200012,533.75,531.707581,305719
9/5/2019,539.75,546.150024,511,514.400024,512.431641,350431
9/6/2019,519.450012,524.349976,496,500.700012,498.784058,1107347
9/9/2019,507.899994,516.5,501.049988,513.549988,511.584869,316729
9/11/2019,516.5,568.799988,512.200012,564.299988,562.140686,1027630
9/12/2019,566.299988,572.349976,537.099976,544.549988,542.466248,487090
9/13/2019,550,582.5,496.100006,546.849976,544.757446,1308235
9/16/2019,539.5,553.700012,534,539.849976,537.78418,349585
9/17/2019,537,545.099976,506.100006,515.5,513.527405,381796
9/18/2019,527,530.900024,518.650024,524,521.994873,322565
9/19/2019,525,534.5,519.25,526.900024,524.883789,230105
9/20/2019,515.900024,539.799988,501.549988,531.799988,529.765015,1984150
9/23/2019,538,562,536.900024,556.900024,554.769043,477506
9/24/2019,551,559.75,540,546.299988,544.209534,184085
9/25/2019,550.799988,550.799988,514.599976,521.200012,519.205627,549424
9/26/2019,518,526.400024,508.549988,520.099976,518.109802,519179
9/27/2019,523.349976,523.349976,504.200012,505.950012,504.013977,434267
9/30/2019,505.950012,517,480.549988,507.600006,505.657654,618561
10/1/2019,507.600006,511,485,490.399994,488.523438,376962
10/3/2019,492,507.899994,486.649994,489.850006,487.975555,459549
10/4/2019,492.899994,499.5,485,488.399994,486.531097,206224
10/7/2019,487.950012,494.5,481.200012,483.850006,481.998535,100507
10/9/2019,482.799988,504.450012,467.25,500.149994,498.236145,559207
10/10/2019,499.75,506.799988,490,495.399994,493.504303,395448
10/11/2019,498.5,507.399994,482.100006,496.149994,494.251434,270707
10/14/2019,491.600006,509,491.049988,495.950012,494.052216,202136
10/15/2019,496,507.5,495.350006,504.950012,503.017792,105766
10/16/2019,505,509.700012,503.100006,507.100006,505.159546,109697
10/17/2019,507,517.450012,503.549988,515.349976,513.37793,184349
